ky_nang,nganh,truong,mo_ta
luật,Luật,ĐH Luật TP.HCM,"Nghiên cứu hệ thống pháp luật toàn cầu, luật quốc tế."
mba,Quản trị kinh doanh (MBA),ĐH Kinh tế - Luật (ĐH Quốc gia TP.HCM),"Trang bị kỹ năng thực tế để thành công trong kinh doanh."
sức khỏe,Sức khỏe và Phúc lợi,ĐH Y tế Công cộng,"Nâng cao sức khỏe con người về thể chất và thẩm mỹ."
xã hội,Khoa học xã hội,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia TP.HCM),"Nghiên cứu cách con người tương tác trong xã hội, phim ảnh, truyền thông."
du lịch,Du lịch và Khách sạn,ĐH Văn hóa TP.HCM,"Nghiên cứu ngành du lịch, khách sạn, phát triển sự nghiệp trong lĩnh vực này."
marketing,Marketing,ĐH Kinh tế Quốc dân,"Phù hợp với người sáng tạo, thích nghiên cứu thị trường và quảng bá sản phẩm."
tài chính,Tài chính - Ngân hàng,ĐH Ngân hàng TP.HCM,"Dành cho người giỏi toán, thích phân tích tài chính và đầu tư."
dược,Dược học,ĐH Dược Hà Nội,"Phù hợp với người quan tâm đến sản xuất và phân phối thuốc."
điều dưỡng,Điều dưỡng,ĐH Y Hà Nội,"Dành cho người muốn chăm sóc sức khỏe, hỗ trợ bệnh nhân."
hóa học,Hóa học,ĐH Khoa học Tự nhiên (ĐH Quốc gia TP.HCM),"Nghiên cứu các phản ứng hóa học, ứng dụng trong công nghiệp và y học."
vật lý,Vật lý,ĐH Sư phạm Hà Nội,"Phù hợp với người yêu thích khoa học, nghiên cứu vật chất và năng lượng."
toán học,Toán học,ĐH Khoa học Tự nhiên (ĐH Quốc gia Hà Nội),"Dành cho người giỏi tư duy logic, thích giải quyết vấn đề toán học."
lịch sử,Lịch sử,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia Hà Nội),"Nghiên cứu các sự kiện lịch sử, văn hóa và xã hội."
văn học,Văn học,ĐH Sư phạm TP.HCM,"Phù hợp với người yêu thích văn chương, sáng tác và phân tích tác phẩm."
ngôn ngữ,Ngôn ngữ Anh,ĐH Ngoại ngữ (ĐH Quốc gia Hà Nội),"Dành cho người thích học ngoại ngữ, giao tiếp quốc tế."
báo chí,Báo chí,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia TP.HCM),"Phù hợp với người yêu thích viết lách, truyền thông và đưa tin."
truyền thông,Truyền thông đa phương tiện,ĐH RMIT Việt Nam,"Dành cho người sáng tạo, thích làm việc với video, âm thanh và hình ảnh."
xây dựng,Kỹ thuật xây dựng,ĐH Xây dựng Hà Nội,"Phù hợp với người thích thiết kế và xây dựng công trình."
điện,Điện - Điện tử,ĐH Bách Khoa TP.HCM,"Dành cho người quan tâm đến hệ thống điện, điện tử và tự động hóa."
hàng không,Kỹ thuật hàng không,ĐH Bách Khoa TP.HCM,"Phù hợp với người yêu thích ngành hàng không, chế tạo máy bay."
hải dương,Hải dương học,ĐH Khoa học Tự nhiên (ĐH Quốc gia TP.HCM),"Nghiên cứu về đại dương, sinh vật biển và môi trường biển."
môi trường,Khoa học môi trường,ĐH Khoa học Tự nhiên (ĐH Quốc gia Hà Nội),"Phù hợp với người quan tâm đến bảo vệ môi trường, phát triển bền vững."
địa chất,Địa chất học,ĐH Mỏ - Địa chất Hà Nội,"Nghiên cứu về cấu trúc Trái Đất, tài nguyên khoáng sản."
thú y,Thú y,ĐH Nông Lâm TP.HCM,"Dành cho người yêu động vật, muốn chăm sóc và điều trị cho thú."
nông học,Nông học,ĐH Nông nghiệp Hà Nội,"Phù hợp với người quan tâm đến cây trồng, kỹ thuật canh tác."
chăn nuôi,Chăn nuôi,ĐH Nông Lâm TP.HCM,"Nghiên cứu về chăn nuôi gia súc, gia cầm và thủy sản."
thủy sản,Thủy sản,ĐH Nha Trang,"Dành cho người quan tâm đến nuôi trồng và khai thác thủy sản."
logistics,Logistics và Quản lý chuỗi cung ứng,ĐH Giao thông Vận tải TP.HCM,"Phù hợp với người thích quản lý vận chuyển, kho bãi."
hàng hải,Kỹ thuật hàng hải,ĐH Hàng hải Việt Nam,"Dành cho người yêu thích ngành hàng hải, điều khiển tàu biển."
sư phạm,Sư phạm Toán,ĐH Sư phạm Hà Nội,"Phù hợp với người muốn trở thành giáo viên dạy Toán."
sư phạm văn,Sư phạm Ngữ văn,ĐH Sư phạm TP.HCM,"Dành cho người muốn trở thành giáo viên dạy Văn."
sư phạm anh,Sư phạm Tiếng Anh,ĐH Ngoại ngữ (ĐH Quốc gia Hà Nội),"Phù hợp với người muốn trở thành giáo viên dạy Tiếng Anh."
quân sự,Quân sự,ĐH Quân sự (Học viện Quốc phòng),"Dành cho người muốn phục vụ trong quân đội, nghiên cứu chiến lược."
công an,Công an,ĐH An ninh Nhân dân,"Phù hợp với người muốn làm việc trong ngành công an, bảo vệ an ninh."
kiểm toán,Kiểm toán,ĐH Kinh tế Quốc dân,"Dành cho người thích phân tích tài chính, kiểm tra sổ sách."
kế toán,Kế toán,ĐH Tài chính - Kế toán,"Phù hợp với người giỏi toán, thích làm việc với số liệu tài chính."
quản lý,Quản lý công,ĐH Nội vụ Hà Nội,"Nghiên cứu quản lý hành chính, chính sách công."
quản trị nhân sự,Quản trị nhân sự,ĐH Lao động - Xã hội,"Dành cho người thích làm việc với con người, quản lý nhân sự."
bảo hiểm,Bảo hiểm,ĐH Kinh tế Quốc dân,"Phù hợp với người quan tâm đến bảo hiểm, quản lý rủi ro."
thống kê,Thống kê,ĐH Kinh tế Quốc dân,"Dành cho người giỏi toán, thích phân tích dữ liệu và dự báo."
đầu tư,Đầu tư,ĐH Ngân hàng TP.HCM,"Phù hợp với người thích nghiên cứu thị trường tài chính, đầu tư chứng khoán."
quản lý sự kiện,Quản lý sự kiện,ĐH Văn hóa TP.HCM,"Dành cho người sáng tạo, thích tổ chức sự kiện và hội nghị."
hướng dẫn viên,Hướng dẫn viên du lịch,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia TP.HCM),"Phù hợp với người yêu thích du lịch, giao tiếp tốt."
ẩm thực,Ẩm thực,ĐH Hoa Sen,"Dành cho người đam mê nấu ăn, nghiên cứu văn hóa ẩm thực."
khách sạn,Quản trị khách sạn,ĐH Kinh tế TP.HCM,"Phù hợp với người thích làm việc trong ngành khách sạn, dịch vụ."
lữ hành,Quản trị lữ hành,ĐH Văn hóa TP.HCM,"Dành cho người yêu thích du lịch, tổ chức tour."
thể thao,Khoa học thể thao,ĐH Thể dục Thể thao TP.HCM,"Phù hợp với người yêu thích thể thao, huấn luyện viên."
vật lý trị liệu,Vật lý trị liệu,ĐH Y Dược TP.HCM,"Dành cho người muốn hỗ trợ phục hồi chức năng cho bệnh nhân."
tâm lý,Tâm lý học,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia TP.HCM),"Nghiên cứu hành vi con người, hỗ trợ tâm lý."
xã hội học,Xã hội học,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia Hà Nội),"Phù hợp với người quan tâm đến xã hội, văn hóa."
nhân học,Nhân học,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia TP.HCM),"Nghiên cứu về con người, văn hóa và xã hội."
triết học,Triết học,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia Hà Nội),"Dành cho người thích tư duy, nghiên cứu triết lý."
tôn giáo,Tôn giáo học,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia TP.HCM),"Nghiên cứu về tôn giáo, tín ngưỡng và văn hóa."
chính trị,Chính trị học,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia Hà Nội),"Phù hợp với người quan tâm đến chính trị, quản lý nhà nước."
quan hệ quốc tế,Quan hệ quốc tế,ĐH Ngoại giao Việt Nam,"Dành cho người thích ngoại giao, quan hệ quốc tế."
kinh tế quốc tế,Kinh tế quốc tế,ĐH Ngoại thương,"Phù hợp với người quan tâm đến thương mại toàn cầu, kinh tế quốc tế."
ngoại thương,Ngoại thương,ĐH Ngoại thương,"Dành cho người thích kinh doanh quốc tế, xuất nhập khẩu."
phiên dịch,Phiên dịch,ĐH Ngoại ngữ (ĐH Quốc gia Hà Nội),"Phù hợp với người giỏi ngoại ngữ, thích làm việc với ngôn ngữ."
dịch thuật,Dịch thuật,ĐH Sư phạm Ngoại ngữ TP.HCM,"Dành cho người yêu thích dịch thuật, chuyển ngữ văn bản."
văn hóa,Văn hóa học,ĐH Văn hóa Hà Nội,"Nghiên cứu về văn hóa, di sản và truyền thống."
bảo tàng,Bảo tàng học,ĐH Văn hóa TP.HCM,"Phù hợp với người yêu thích lịch sử, bảo tồn di sản."
thư viện,Thư viện học,ĐH Khoa học Xã hội và Nhân văn (ĐH Quốc gia Hà Nội),"Dành cho người thích quản lý thông tin, thư viện."
lưu trữ,Lưu trữ học,ĐH Nội vụ Hà Nội,"Nghiên cứu quản lý tài liệu, lưu trữ thông tin."
chào,Trò chuyện,,"Chào bạn! Mình là chatbot hỗ trợ ngành học, rất vui được trò chuyện với bạn! 😊"
nghi thức,Trò chuyện,,"Mình không hiểu lắm về nghi thức, nhưng mình có thể giúp bạn tìm hiểu thêm nếu bạn muốn! 😊"
